ï»¿"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","8,09,131","571.25","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,10,429","570.93","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","18,94,856","581.37","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","18,94,856","581.66","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","QE SECURITIES LLP","BUY","11,85,786","576.21","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","QE SECURITIES LLP","SELL","12,41,513","571.83","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","1,19,464","354.18","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","1,19,464","354.53","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,22,401","356.68","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,26,080","356.74","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","94,357","357.29","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","94,357","357.09","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,04,314","355.52","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,04,314","355.22","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QE SECURITIES LLP","SELL","1,01,683","352.80","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QE SECURITIES LLP","BUY","1,02,939","355.98","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QICAP MARKETS LLP","BUY","88,153","357.95","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QICAP MARKETS LLP","SELL","88,153","357.25","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","MADHU KUMARI","BUY","1,89,000","2.45","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","RINKU MAHAVIR MEHTA","BUY","1,50,000","2.45","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","SHAILENDRA ISHWARDAS CHANDGOTIA","SELL","7,74,000","2.45","-"
